id,varieties
38019,"CabernetSauvignon62%,Merlot32%,CabernetFranc6%,"
38020,"CabernetSauvignon35%,CabernetFranc35%,Merlot30%,"
38021,"CabernetSauvignon35%,CabernetFranc35%,Merlot30%,"
38022,"CabernetSauvignon35%,CabernetFranc35%,Merlot30%,"
38024,"CabernetSauvignon35%,CabernetFranc35%,Merlot30%,"
38025,"Merlot80%,CabernetFranc15%,CabernetSauvignon5%,"
38026,"CabernetSauvignon65%,Merlot30%,CabernetFranc5%,"
38027,"CabernetSauvignon51%,Merlot32%,CabernetFranc&PetitVerdot17%,"
38032,"CabernetSauvignon65%,Merlot25%,CabernetFranc10%,"
38034,"CabernetSauvignon,Merlot,CabernetFranc,"
38035,"Merlot70%,CabernetFranc25%,Malbec5%,"
38036,"Merlot70%,CabernetFranc25%,Malbec5%,"
38038,"Merlot80%,CabernetFranc20%,"
38039,"Merlot80%,CabernetFranc20%,"
38040,"Merlot80%,CabernetFranc20%,"
38041,"SauvignonBlanc50%,SauvignonGris50%,"
38042,"SauvignonBlanc50%,SauvignonGris50%,"
38046,"CabernetSauvignon70%,Merlot15%,CabernetFranc15%,"
38050,"Merlot70%,CabernetFranc30%,"
38051,"Merlot70%,CabernetFranc30%,"
38052,"Cabernetsauvignon75%,Merlot20%,CabernetFranc4%,PetitVerdot1%,"
38053,"Cabernetsauvignon75%,Merlot20%,CabernetFranc4%,PetitVerdot1%,"
38059,"Merlot90%,CabernetFranc10%,"
38060,"CabernetSauvignon73%,Merlot15%,CabernetFranc10%,PetitVerdot2%,"
38062,"CabernetSauvignon73%,Merlot15%,CabernetFranc10%,PetitVerdot2%,"
38063,"Merlot80%,CabernetFranc20%,"
38064,"Merlot80%,CabernetFranc20%,"
38065,"Merlot80%,CabernetFranc20%,"
38066,"Merlot80%,CabernetFranc20%,"
38067,"Merlot80%,CabernetFranc20%,"
38068,"Merlot80%,CabernetFranc20%,"
38071,"Merlot80%,CabernetFranc20%,"
38072,"Merlot75%,CabernetFranc25%,"
